Puerto,Río,Variación,Estado
CAXIA (BRASIL),IGUAZU,-30.00,BAJA
REPRESA CAPANEMA (BRASIL),IGUAZU,-,BAJA
ANDRESITO,IGUAZU,-1.60,BAJA
IGUAZU,IGUAZU,1.40,CRECE
GUAYRA (BRASIL),PARANA,2.70,CRECE
REPRESA ITAIPU (BRASIL),PARANA,9.06,CRECE
LIBERTAD,PARANA,2.40,CRECE
ELDORADO,PARANA,1.25,CRECE
LIBERTADOR,PARANA,0.45,CRECE
PUERTO MANI,PARANA,0.27,CRECE
SANTA ANA,PARANA,0.05,CRECE
POSADAS,PARANA,-0.03,BAJA
ITUZAINGO,PARANA,-0.10,BAJA
ITA IBATE,PARANA,0.00,ESTAC.
ITATI,PARANA,0.00,ESTAC.
PASO DE LA PATRIA,PARANA,0.04,CRECE
CORRIENTES,PARANA,0.00,ESTAC.
BARRANQUERAS,PARANA,0.06,CRECE
EMPEDRADO,PARANA,-0.02,BAJA
BELLA VISTA,PARANA,-0.02,BAJA
GOYA,PARANA,-0.01,BAJA
RECONQUISTA,PARANA,-0.02,BAJA
ESQUINA,PARANA,-0.05,BAJA
SAN JAVIER (SANTA FE),SAN JAVIER,0.03,CRECE
LA PAZ,PARANA,-0.01,BAJA
SANTA ELENA,PARANA,-0.02,BAJA
HERNANDARIAS,PARANA,-0.02,BAJA
PARANA,PARANA,0.00,ESTAC.
SANTA FE,PARANA,0.00,ESTAC.
DIAMANTE,PARANA,0.00,ESTAC.
VICTORIA,PARANA,0.00,ESTAC.
SAN LORENZO,PARANA,0.00,ESTAC.
ROSARIO,PARANA,-0.04,BAJA
VILLA CONSTITUCION,PARANA,-0.06,BAJA
SAN NICOLAS,PARANA,-0.02,BAJA
RAMALLO,PARANA,0.02,CRECE
SAN PEDRO,DELTA PARANA,0.18,CRECE
BARADERO,DELTA PARANA,0.26,CRECE
ZARATE,DELTA PARANA,-0.02,BAJA
CAMPANA,DELTA PARANA,0.10,CRECE
ESCOBAR,DELTA PARANA,0.00,ESTAC.
CANAL NUEVO,DELTA PARANA,0.12,CRECE
PUERTO RUIZ,GUALEGUAY,-0.02,BAJA
IBICUY,IBICUY,0.20,CRECE
GUAZUCITO,DELTA PARANA,-0.10,BAJA
MARTIN GARCIA,DELTA PARANA,0.00,ESTAC.
TIGRE,DELTA PARANA,0.00,ESTAC.
DIQUE LUJAN,DELTA PARANA,-0.10,BAJA
CHANA MINI,DELTA PARANA,0.00,ESTAC.
SAN FERNANDO,DELTA PARANA,0.30,CRECE
SAN ISIDRO,DELTA PARANA,1.00,CRECE
OLIVOS,DELTA PARANA,-0.10,BAJA
PILCOMAYO,PARAGUAY,0.04,CRECE
BOUVIER,PARAGUAY,0,S/E.
FORMOSA,PARAGUAY,0.00,ESTAC.
BERMEJO,PARAGUAY,0.00,ESTAC.
LAS PALMAS,PARAGUAY,0.01,CRECE
ISLA DEL CERRITO,PARAGUAY,0.00,ESTAC.
EL SOBERBIO,URUGUAY,-0.05,BAJA
ALBA POSSE,URUGUAY,0.00,ESTAC.
SAN JAVIER,URUGUAY,-0.34,BAJA
PUERTO CONCEPCION,URUGUAY,-0.04,BAJA
GARRUCHOS,URUGUAY,-0.06,BAJA
SANTO TOME,URUGUAY,-0.04,BAJA
ALVEAR,URUGUAY,0.16,CRECE
LA CRUZ,URUGUAY,0.16,CRECE
YAPEYU,URUGUAY,0.07,CRECE
PASO DE LOS LIBRES,URUGUAY,0.12,CRECE
BOMPLAND,URUGUAY,0,S/E.
MONTE CASEROS,URUGUAY,-0.06,BAJA
MOCORETA,URUGUAY,0.00,ESTAC.
FEDERACION,URUGUAY,0.03,CRECE
FEDERACION EMBALSE,URUGUAY,0.03,CRECE
SALTO GRANDE ARRIBA,URUGUAY,0.04,CRECE
SALTO GRANDE ABAJO,URUGUAY,-1.37,BAJA
CONCORDIA,URUGUAY,-0.98,BAJA
COLON,URUGUAY,-0.22,BAJA
CONCEPCION DEL URUGUAY,URUGUAY,-0.18,BAJA
CAMPICHUELO,URUGUAY,0,S/E.
GUALEGUAYCHU,GUALEGUAYCHU,-0.04,BAJA
BOCA GUALEGUAYCHU,GUALEGUAYCHU,0.08,CRECE
PARANACITO,URUGUAY,0.10,CRECE
BUENOS AIRES,DE LA PLATA,-0.05,BAJA
LA PLATA,DE LA PLATA,0.70,CRECE
BRAGA,DE LA PLATA,0.00,ESTAC.
SANTA TERESITA,DE LA PLATA,0,S/E.
ATALAYA,DE LA PLATA,0.26,CRECE
